Date,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,W.P Kuala Lumpur,W.P Labuan,W.P Putrajaya
7/1/2019,2262.00,357.00,278.00,422.00,291.00,200.00,1736.00,394.00,2.00,7107.00,72.00,238.00,252.00,6331.00,12.00,75.00
8/1/2019,2204.00,358.00,347.00,459.00,306.00,226.00,1690.00,456.00,9.00,6801.00,76.00,278.00,268.00,6015.00,18.00,92.00
9/1/2019,1943.00,333.00,289.00,378.00,229.00,192.00,1530.00,372.00,8.00,5756.00,56.00,212.00,240.00,5345.00,22.00,86.00
10/1/2019,3858.00,1896.00,1951.00,1034.00,1208.00,797.00,2202.00,1141.00,440.00,6146.00,445.00,573.00,636.00,5915.00,355.00,371.00
11/1/2019,3055.00,1645.00,1553.00,727.00,1044.00,653.00,1725.00,857.00,418.00,5061.00,351.00,446.00,496.00,4763.00,270.00,310.00
12/1/2019,3505.00,1665.00,1796.00,938.00,1142.00,718.00,1989.00,971.00,379.00,5638.00,393.00,593.00,630.00,5292.00,313.00,334.00
13/1/2019,1153.00,227.00,145.00,186.00,133.00,89.00,1020.00,744.00,5.00,3912.00,36.00,111.00,166.00,4521.00,18.00,46.00
14/1/2019,1403.00,262.00,140.00,273.00,190.00,112.00,1168.00,890.00,5.00,5172.00,44.00,191.00,218.00,5366.00,25.00,81.00
15/1/2019,796.00,161.00,99.00,161.00,104.00,68.00,746.00,519.00,3.00,3226.00,27.00,71.00,107.00,3513.00,9.00,28.00
16/1/2019,473.00,108.00,59.00,117.00,53.00,54.00,391.00,272.00,2.00,1752.00,15.00,53.00,70.00,2112.00,11.00,30.00
17/1/2019,427.00,84.00,47.00,75.00,59.00,32.00,393.00,227.00,,1436.00,17.00,42.00,71.00,1551.00,11.00,19.00
18/1/2019,409.00,112.00,70.00,81.00,63.00,37.00,406.00,252.00,1.00,1467.00,15.00,47.00,65.00,1568.00,14.00,23.00
19/1/2019,1834.00,243.00,110.00,384.00,177.00,94.00,1168.00,408.00,4.00,4824.00,76.00,323.00,419.00,10272.00,21.00,71.00
20/1/2019,1844.00,212.00,91.00,310.00,188.00,97.00,1074.00,385.00,5.00,4558.00,33.00,205.00,219.00,10820.00,15.00,84.00
21/1/2019,1924.00,235.00,140.00,375.00,214.00,148.00,1387.00,432.00,4.00,5469.00,76.00,258.00,325.00,12504.00,29.00,106.00
22/1/2019,2083.00,303.00,129.00,372.00,260.00,123.00,1651.00,418.00,4.00,4672.00,69.00,196.00,308.00,11712.00,13.00,88.00
23/1/2019,1756.00,280.00,105.00,341.00,173.00,105.00,1234.00,386.00,3.00,4557.00,64.00,149.00,238.00,10844.00,15.00,77.00
24/1/2019,2026.00,287.00,99.00,458.00,270.00,130.00,1802.00,752.00,5.00,6327.00,55.00,185.00,299.00,12882.00,27.00,89.00
25/1/2019,1602.00,215.00,87.00,372.00,189.00,132.00,1500.00,379.00,5.00,4966.00,43.00,184.00,297.00,11448.00,20.00,94.00
26/1/2019,1825.00,284.00,118.00,473.00,223.00,129.00,1521.00,502.00,2.00,5662.00,77.00,208.00,257.00,12313.00,24.00,114.00
27/1/2019,2669.00,347.00,120.00,454.00,300.00,156.00,2208.00,588.00,9.00,8007.00,74.00,303.00,340.00,17260.00,12.00,110.00
28/1/2019,2518.00,311.00,114.00,414.00,227.00,144.00,1987.00,462.00,9.00,6760.00,69.00,228.00,268.00,15779.00,18.00,101.00
29/1/2019,1992.00,220.00,105.00,368.00,227.00,101.00,1798.00,411.00,6.00,5645.00,55.00,186.00,278.00,12717.00,16.00,69.00
30/1/2019,1893.00,295.00,92.00,322.00,193.00,125.00,1813.00,364.00,8.00,5291.00,86.00,188.00,241.00,13667.00,25.00,71.00
31/1/2019,3844.00,805.00,413.00,828.00,628.00,545.00,3272.00,1149.00,207.00,11323.00,294.00,1068.00,1582.00,21242.00,69.00,215.00
1/2/2019,4327.00,943.00,455.00,952.00,721.00,557.00,3587.00,1269.00,272.00,13930.00,421.00,1186.00,1749.00,24512.00,84.00,254.00
2/2/2019,5457.00,1016.00,572.00,1450.00,987.00,717.00,3597.00,1355.00,292.00,16257.00,543.00,1112.00,1611.00,29550.00,62.00,294.00
3/2/2019,5735.00,1107.00,495.00,1354.00,755.00,691.00,3592.00,1409.00,186.00,14355.00,454.00,1041.00,1461.00,30073.00,64.00,295.00
4/2/2019,3040.00,499.00,224.00,770.00,328.00,330.00,1946.00,568.00,260.00,7448.00,236.00,558.00,773.00,17663.00,29.00,185.00
5/2/2019,5695.00,816.00,498.00,1544.00,519.00,455.00,2683.00,1068.00,330.00,12247.00,493.00,969.00,1336.00,32742.00,54.00,269.00
