Date,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,W.P Kuala Lumpur,W.P Labuan,W.P Putrajaya,Total
7/1/2019,2262,357,278,422,291,200,1736,394,2,7107,72,238,252,6331,12,75,25924
8/1/2019,2204,358,347,459,306,226,1690,456,9,6801,76,278,268,6015,18,92,25550
9/1/2019,1943,333,289,378,229,192,1530,372,8,5756,56,212,240,5345,22,86,22544
10/1/2019,3858,1896,1951,1034,1208,797,2202,1141,440,6146,445,573,636,5915,355,371,33220
11/1/2019,3055,1645,1553,727,1044,653,1725,857,418,5061,351,446,496,4763,270,310,27111
12/1/2019,3505,1665,1796,938,1142,718,1989,971,379,5638,393,593,630,5292,313,334,30106
13/1/2019,1153,227,145,186,133,89,1020,744,5,3912,36,111,166,4521,18,46,16490
14/1/2019,1403,262,140,273,190,112,1168,890,5,5172,44,191,218,5366,25,81,20097
15/1/2019,796,161,99,161,104,68,746,519,3,3226,27,71,107,3513,9,28,12785
16/1/2019,473,108,59,117,53,54,391,272,2,1752,15,53,70,2112,11,30,7163
17/1/2019,427,84,47,75,59,32,393,227,,1436,17,42,71,1551,11,19,6018
18/1/2019,409,112,70,81,63,37,406,252,1,1467,15,47,65,1568,14,23,5988
19/1/2019,1834,243,110,384,177,94,1168,408,4,4824,76,323,419,10272,21,71,24334
20/1/2019,1844,212,91,310,188,97,1074,385,5,4558,33,205,219,10820,15,84,22935
21/1/2019,1924,235,140,375,214,148,1387,432,4,5469,76,258,325,12504,29,106,27271
22/1/2019,2083,303,129,372,260,123,1651,418,4,4672,69,196,308,11712,13,88,25595
23/1/2019,1756,280,105,341,173,105,1234,386,3,4557,64,149,238,10844,15,77,23555
24/1/2019,2026,287,99,458,270,130,1802,752,5,6327,55,185,299,12882,27,89,29153
25/1/2019,1602,215,87,372,189,132,1500,379,5,4966,43,184,297,11448,20,94,24900
26/1/2019,1825,284,118,473,223,129,1521,502,2,5662,77,208,257,12313,24,114,27348
27/1/2019,2669,347,120,454,300,156,2208,588,9,8007,74,303,340,17260,12,110,37970
28/1/2019,2518,311,114,414,227,144,1987,462,9,6760,69,228,268,15779,18,101,33877
29/1/2019,1992,220,105,368,227,101,1798,411,6,5645,55,186,278,12717,16,69,28242
30/1/2019,1893,295,92,322,193,125,1813,364,8,5291,86,188,241,13667,25,71,28383
31/1/2019,3844,805,413,828,628,545,3272,1149,207,11323,294,1068,1582,21242,69,215,54313
1/2/2019,4327,943,455,952,721,557,3587,1269,272,13930,421,1186,1749,24512,84,254,64023
2/2/2019,5457,1016,572,1450,987,717,3597,1355,292,16257,543,1112,1611,29550,62,294,74144
3/2/2019,5735,1107,495,1354,755,691,3592,1409,186,14355,454,1041,1461,30073,64,295,73230
4/2/2019,3040,499,224,770,328,330,1946,568,260,7448,236,558,773,17663,29,185,41013
5/2/2019,5695,816,498,1544,519,455,2683,1068,330,12247,493,969,1336,32742,54,269,76193
6/2/2019,3674,590,429,971,404,365,1811,742,179,9196,415,749,962,20440,45,301,48924
7/2/2019,4693,706,405,1088,432,545,2326,937,221,10030,337,814,1022,28486,36,216,67172
8/2/2019,3244,416,270,698,284,263,2009,570,21,7643,245,570,726,18954,26,197,43052
9/2/2019,7296,899,590,1742,583,804,3435,1121,327,13974,497,1479,1530,40879,61,341,93637
10/2/2019,3107,452,267,714,262,291,1675,531,38,6101,233,584,619,18393,33,122,41817
11/2/2019,5643,622,472,1159,402,472,2497,759,21,9958,473,1125,1169,29228,60,246,66648
12/2/2019,4339,599,386,911,291,279,1898,652,16,8353,319,874,859,23248,47,193,54086
13/2/2019,4719,615,364,1043,316,482,2093,627,35,8867,305,1015,1051,25522,59,222,66093
14/2/2019,5757,645,417,1184,362,446,2349,721,17,10204,341,1145,1212,30413,52,274,69991
15/2/2019,5624,668,335,1139,408,431,2204,762,53,9641,369,908,1065,26454,37,282,63743
16/2/2019,7359,1179,607,1868,601,798,2380,1386,98,14062,638,1836,2055,32935,80,400,81784
17/2/2019,3414,555,411,890,246,314,1260,733,43,6473,401,888,1155,17937,36,183,58893
18/2/2019,3603,1185,286,924,317,464,2152,923,79,11389,370,1164,1171,18789,37,173,49524
19/2/2019,4166,1106,392,1047,304,414,2398,959,76,13167,419,1318,1590,19761,50,196,65297
20/2/2019,4381,1238,342,1072,341,629,2728,1105,67,15434,413,1614,1733,24177,38,221,96688
